title,IP_Value,Model_Rank,market_score,content_score,reputation_score,engagement_score,potential_score,topic_id,sentiment_score,word_count
星武纪元,60.4254980285196,1,100.0,38.12517105298008,99.97231744443198,5.979752192218146,0.02778947555460462,3,0.999823277032651,4659100
人族镇守使,55.17331852199844,2,33.90563357449183,100.0,99.9999999999998,0.0,0.016284496509358884,2,0.9999999999999988,11667600
圣墟,51.70390781058134,3,71.7773728567575,40.30352523638419,99.99999967941709,0.63209805716422,0.0,2,0.9999999979534272,6132300
苟在初圣魔门当人材,49.86434250468372,4,3.889537830444921,23.21994543961719,99.99999945670181,99.99999999999999,78.92494904305576,1,0.9999999965316329,2970800
夜无疆,49.09845765262616,5,18.86838333244696,19.92248541083615,89.7920048407368,69.99280221357117,100.0,0,0.9348330687606992,2597300
开局签到荒古圣体,41.09482806486123,6,1.1076716852666917,82.19195013640095,99.99999999901206,1.3224350122295772,0.16173773544130512,1,0.999999999993693,9650500
牧神记,40.47801587578821,7,34.93327506742336,38.74616355754885,99.99999734009069,2.074716904028734,0.0028546255154029204,0,0.999999983019376,5911799
从修改呼吸法开始成圣,38.324153044941724,8,12.596809941428663,57.73776584943806,99.99998846381803,0.6982712771718169,0.05930215814228375,3,0.9999999263540426,6880599
完美世界,36.23767586236798,9,16.136431934930137,43.49733819491653,99.99999856485064,3.4737464829572873,0.013500477460842469,3,0.9999999908381344,6584500
天人图谱,34.904382112145356,10,7.7150620794650475,43.12565662272996,99.89013035267457,7.242979880622455,7.439762799950595,2,0.9992986019643588,5225500
万世之名,34.03650616891571,11,23.205936458974758,27.857577978087562,99.99999999999913,0.7313749565018692,0.006244932262752954,0,0.9999999999999944,3496100
鸣龙,32.51348229709076,12,4.1064651452173155,13.102437560144434,99.99410425777751,32.76080262548726,30.929921181108604,3,0.99996236210715,1824800
万生痴魔,32.38890101585585,13,0.5340365396457014,0.27368476811837283,99.99999999403404,40.843227386513924,60.33784755148649,2,0.9999999999619138,371700
龙藏,31.432397888824642,14,4.357128165565745,26.01329578260601,99.99421392047545,16.44860892848143,11.558013701361132,4,0.9999630621840392,3287200
